------Początek: 2025-06-04 22:16:11------
Time: 22:16:11.881 | Thread: 10 | Pos: (207,59, 288,39) | Vel: (1,19, 3,59)
Time: 22:16:11.881 | Thread: 10 | Pos: (232,18, 244,27) | Vel: (1,68, 4,44)
Time: 22:16:11.881 | Thread: 10 | Pos: (257,67, 325,97) | Vel: (4,83, 3,84)
Time: 22:16:11.881 | Thread: 10 | Pos: (207,60, 288,43) | Vel: (1,19, 3,59)
Time: 22:16:11.881 | Thread: 10 | Pos: (232,18, 244,27) | Vel: (1,68, 4,44)
Time: 22:16:11.881 | Thread: 10 | Pos: (257,67, 325,97) | Vel: (4,83, 3,84)
Time: 22:16:11.881 | Thread: 10 | Pos: (207,60, 288,43) | Vel: (1,19, 3,59)
Time: 22:16:11.881 | Thread: 10 | Pos: (232,18, 244,27) | Vel: (1,68, 4,44)
Time: 22:16:11.881 | Thread: 10 | Pos: (257,67, 325,97) | Vel: (4,83, 3,84)
Time: 22:16:11.881 | Thread: 10 | Pos: (207,60, 288,43) | Vel: (1,19, 3,59)
Time: 22:16:11.881 | Thread: 10 | Pos: (232,18, 244,27) | Vel: (1,68, 4,44)
Time: 22:16:11.881 | Thread: 10 | Pos: (257,67, 325,97) | Vel: (4,83, 3,84)
Time: 22:16:11.881 | Thread: 10 | Pos: (207,60, 288,43) | Vel: (1,19, 3,59)
Time: 22:16:11.881 | Thread: 10 | Pos: (232,18, 244,27) | Vel: (1,68, 4,44)
Time: 22:16:11.881 | Thread: 10 | Pos: (257,67, 325,97) | Vel: (4,83, 3,84)
Time: 22:16:11.881 | Thread: 10 | Pos: (207,60, 288,43) | Vel: (1,19, 3,59)
Time: 22:16:11.881 | Thread: 10 | Pos: (232,18, 244,27) | Vel: (1,68, 4,44)
Time: 22:16:11.881 | Thread: 10 | Pos: (257,67, 325,97) | Vel: (4,83, 3,84)
Time: 22:16:11.881 | Thread: 10 | Pos: (207,60, 288,43) | Vel: (1,19, 3,59)
Time: 22:16:11.881 | Thread: 10 | Pos: (232,18, 244,27) | Vel: (1,68, 4,44)
Time: 22:16:11.881 | Thread: 10 | Pos: (257,67, 325,97) | Vel: (4,83, 3,84)
Time: 22:16:11.881 | Thread: 10 | Pos: (207,60, 288,43) | Vel: (1,19, 3,59)
Time: 22:16:11.881 | Thread: 10 | Pos: (232,18, 244,27) | Vel: (1,68, 4,44)
Time: 22:16:11.881 | Thread: 10 | Pos: (257,67, 325,97) | Vel: (4,83, 3,84)
Time: 22:16:11.881 | Thread: 10 | Pos: (207,60, 288,43) | Vel: (1,19, 3,59)
Time: 22:16:11.881 | Thread: 10 | Pos: (232,18, 244,27) | Vel: (1,68, 4,44)
Time: 22:16:11.881 | Thread: 10 | Pos: (257,67, 325,97) | Vel: (4,83, 3,84)
Time: 22:16:11.881 | Thread: 10 | Pos: (207,60, 288,43) | Vel: (1,19, 3,59)
Time: 22:16:11.881 | Thread: 10 | Pos: (232,18, 244,27) | Vel: (1,68, 4,44)
Time: 22:16:11.881 | Thread: 10 | Pos: (257,67, 325,97) | Vel: (4,83, 3,84)
Time: 22:16:11.881 | Thread: 10 | Pos: (207,60, 288,43) | Vel: (1,19, 3,59)
Time: 22:16:11.982 | Thread: 10 | Pos: (242,42, 271,38) | Vel: (1,68, 4,44)
Time: 22:16:11.982 | Thread: 10 | Pos: (287,12, 349,40) | Vel: (4,83, 3,84)
Time: 22:16:11.982 | Thread: 10 | Pos: (214,87, 310,34) | Vel: (1,19, 3,59)
Time: 22:16:11.982 | Thread: 10 | Pos: (242,42, 271,38) | Vel: (1,68, 4,44)
Time: 22:16:11.982 | Thread: 10 | Pos: (287,12, 349,40) | Vel: (4,83, 3,84)
Time: 22:16:11.982 | Thread: 10 | Pos: (214,87, 310,34) | Vel: (1,19, 3,59)
Time: 22:16:11.982 | Thread: 10 | Pos: (242,42, 271,38) | Vel: (1,68, 4,44)
Time: 22:16:11.982 | Thread: 10 | Pos: (287,12, 349,40) | Vel: (4,83, 3,84)
Time: 22:16:11.982 | Thread: 10 | Pos: (214,87, 310,34) | Vel: (1,19, 3,59)
Time: 22:16:11.982 | Thread: 10 | Pos: (242,42, 271,38) | Vel: (1,68, 4,44)
Time: 22:16:11.982 | Thread: 10 | Pos: (287,12, 349,40) | Vel: (4,83, 3,84)
Time: 22:16:11.982 | Thread: 10 | Pos: (214,87, 310,34) | Vel: (1,19, 3,59)
Time: 22:16:11.982 | Thread: 10 | Pos: (242,42, 271,38) | Vel: (1,68, 4,44)
Time: 22:16:11.982 | Thread: 10 | Pos: (287,12, 349,40) | Vel: (4,83, 3,84)
Time: 22:16:11.982 | Thread: 10 | Pos: (214,87, 310,34) | Vel: (1,19, 3,59)
Time: 22:16:11.982 | Thread: 10 | Pos: (242,42, 271,38) | Vel: (1,68, 4,44)
Time: 22:16:11.982 | Thread: 10 | Pos: (287,12, 349,40) | Vel: (4,83, 3,84)
Time: 22:16:11.982 | Thread: 10 | Pos: (214,87, 310,34) | Vel: (1,19, 3,59)
Time: 22:16:11.982 | Thread: 10 | Pos: (242,42, 271,38) | Vel: (1,68, 4,44)
Time: 22:16:11.982 | Thread: 10 | Pos: (287,12, 349,40) | Vel: (4,83, 3,84)
Time: 22:16:11.982 | Thread: 10 | Pos: (214,87, 310,34) | Vel: (1,19, 3,59)
Time: 22:16:11.982 | Thread: 10 | Pos: (242,42, 271,38) | Vel: (1,68, 4,44)
Time: 22:16:11.982 | Thread: 10 | Pos: (287,12, 349,40) | Vel: (4,83, 3,84)
Time: 22:16:11.982 | Thread: 10 | Pos: (214,87, 310,34) | Vel: (1,19, 3,59)
Time: 22:16:11.982 | Thread: 10 | Pos: (242,42, 271,38) | Vel: (1,68, 4,44)
Time: 22:16:11.982 | Thread: 10 | Pos: (287,12, 349,40) | Vel: (4,83, 3,84)
Time: 22:16:11.982 | Thread: 10 | Pos: (214,87, 310,34) | Vel: (1,19, 3,59)
Time: 22:16:11.982 | Thread: 10 | Pos: (242,42, 271,38) | Vel: (1,68, 4,44)
Time: 22:16:11.982 | Thread: 10 | Pos: (287,12, 349,40) | Vel: (4,83, 3,84)
Time: 22:16:11.982 | Thread: 10 | Pos: (214,87, 310,34) | Vel: (1,19, 3,59)
Time: 22:16:12.083 | Thread: 10 | Pos: (252,65, 298,49) | Vel: (1,68, 4,44)
Time: 22:16:12.083 | Thread: 10 | Pos: (316,57, 372,84) | Vel: (4,83, 3,84)
Time: 22:16:12.083 | Thread: 10 | Pos: (222,14, 332,26) | Vel: (1,19, 3,59)
Time: 22:16:12.083 | Thread: 10 | Pos: (252,65, 298,49) | Vel: (1,68, 4,44)
Time: 22:16:12.083 | Thread: 10 | Pos: (316,57, 372,84) | Vel: (4,83, 3,84)
Time: 22:16:12.083 | Thread: 10 | Pos: (222,14, 332,26) | Vel: (1,19, 3,59)
Time: 22:16:12.083 | Thread: 10 | Pos: (252,65, 298,49) | Vel: (1,68, 4,44)
Time: 22:16:12.083 | Thread: 10 | Pos: (316,57, 372,84) | Vel: (4,83, 3,84)
Time: 22:16:12.083 | Thread: 10 | Pos: (222,14, 332,26) | Vel: (1,19, 3,59)
Time: 22:16:12.083 | Thread: 10 | Pos: (252,65, 298,49) | Vel: (1,68, 4,44)
Time: 22:16:12.083 | Thread: 10 | Pos: (316,57, 372,84) | Vel: (4,83, 3,84)
Time: 22:16:12.083 | Thread: 10 | Pos: (222,14, 332,26) | Vel: (1,19, 3,59)
Time: 22:16:12.083 | Thread: 10 | Pos: (252,65, 298,49) | Vel: (1,68, 4,44)
Time: 22:16:12.083 | Thread: 10 | Pos: (316,57, 372,84) | Vel: (4,83, 3,84)
Time: 22:16:12.083 | Thread: 10 | Pos: (222,14, 332,26) | Vel: (1,19, 3,59)
Time: 22:16:12.083 | Thread: 10 | Pos: (252,65, 298,49) | Vel: (1,68, 4,44)
Time: 22:16:12.083 | Thread: 10 | Pos: (316,57, 372,84) | Vel: (4,83, 3,84)
Time: 22:16:12.083 | Thread: 10 | Pos: (222,14, 332,26) | Vel: (1,19, 3,59)
