------Początek: 2025-06-04 22:12:30------
Time: 22:12:30.699 | Pos: (246,17, 321,72) | Vel: (2,72, 4,49)
Time: 22:12:30.699 | Pos: (254,21, 221,27) | Vel: (0,24, 0,74)
Time: 22:12:30.699 | Pos: (255,27, 244,00) | Vel: (4,31, 1,34)
Time: 22:12:30.699 | Pos: (246,17, 321,72) | Vel: (2,72, 4,49)
Time: 22:12:30.699 | Pos: (254,21, 221,27) | Vel: (0,24, 0,74)
Time: 22:12:30.699 | Pos: (255,27, 244,00) | Vel: (4,31, 1,34)
Time: 22:12:30.699 | Pos: (246,17, 321,72) | Vel: (2,72, 4,49)
Time: 22:12:30.699 | Pos: (254,21, 221,27) | Vel: (0,24, 0,74)
Time: 22:12:30.699 | Pos: (255,27, 244,00) | Vel: (4,31, 1,34)
Time: 22:12:30.699 | Pos: (246,17, 321,72) | Vel: (2,72, 4,49)
Time: 22:12:30.699 | Pos: (254,21, 221,27) | Vel: (0,24, 0,74)
Time: 22:12:30.699 | Pos: (255,27, 244,00) | Vel: (4,31, 1,34)
Time: 22:12:30.700 | Pos: (246,17, 321,72) | Vel: (2,72, 4,49)
Time: 22:12:30.700 | Pos: (254,21, 221,27) | Vel: (0,24, 0,74)
Time: 22:12:30.700 | Pos: (255,27, 244,00) | Vel: (4,31, 1,34)
Time: 22:12:30.700 | Pos: (246,17, 321,72) | Vel: (2,72, 4,49)
Time: 22:12:30.700 | Pos: (254,21, 221,27) | Vel: (0,24, 0,74)
Time: 22:12:30.700 | Pos: (255,27, 244,00) | Vel: (4,31, 1,34)
Time: 22:12:30.700 | Pos: (246,17, 321,72) | Vel: (2,72, 4,49)
Time: 22:12:30.700 | Pos: (254,21, 221,27) | Vel: (0,24, 0,74)
Time: 22:12:30.800 | Pos: (281,58, 252,18) | Vel: (4,31, 1,34)
Time: 22:12:30.800 | Pos: (262,79, 349,10) | Vel: (2,72, 4,49)
Time: 22:12:30.800 | Pos: (255,68, 225,78) | Vel: (0,24, 0,74)
Time: 22:12:30.800 | Pos: (281,58, 252,18) | Vel: (4,31, 1,34)
Time: 22:12:30.800 | Pos: (262,79, 349,10) | Vel: (2,72, 4,49)
Time: 22:12:30.800 | Pos: (255,68, 225,78) | Vel: (0,24, 0,74)
Time: 22:12:30.800 | Pos: (281,58, 252,18) | Vel: (4,31, 1,34)
